lat,lon,time
52.22306652,6.88713522,2020-04-27T11:25:05Z
52.22306639,6.88713620,2020-04-27T11:25:06Z
52.22306630,6.88713678,2020-04-27T11:25:07Z
52.22306626,6.88713702,2020-04-27T11:25:08Z
52.22306618,6.88713697,2020-04-27T11:25:09Z
52.22306585,6.88713858,2020-04-27T11:25:10Z
52.22306557,6.88714002,2020-04-27T11:25:11Z
52.22306529,6.88714158,2020-04-27T11:25:12Z
52.22306493,6.88714370,2020-04-27T11:25:13Z
52.22306468,6.88714485,2020-04-27T11:25:14Z
52.22306442,6.88714629,2020-04-27T11:25:15Z
52.22306425,6.88714700,2020-04-27T11:25:16Z
52.22306413,6.88714733,2020-04-27T11:25:17Z
52.22306402,6.88714748,2020-04-27T11:25:18Z
52.22306369,6.88714914,2020-04-27T11:25:19Z
52.22306350,6.88714991,2020-04-27T11:25:20Z
52.22306337,6.88715027,2020-04-27T11:25:21Z
52.22306332,6.88715038,2020-04-27T11:25:22Z
52.22306317,6.88715123,2020-04-27T11:25:23Z
52.22306298,6.88715265,2020-04-27T11:25:24Z
52.22306284,6.88715342,2020-04-27T11:25:25Z
52.22306275,6.88715388,2020-04-27T11:25:26Z
52.22306244,6.88715497,2020-04-27T11:25:27Z
52.22306220,6.88715563,2020-04-27T11:25:28Z
52.22306200,6.88715603,2020-04-27T11:25:29Z
52.22306185,6.88715622,2020-04-27T11:25:30Z
52.22306171,6.88715633,2020-04-27T11:25:31Z
52.22306157,6.88715639,2020-04-27T11:25:32Z
52.22306147,6.88715642,2020-04-27T11:25:33Z
52.22306047,6.88715243,2020-04-27T11:25:34Z
52.22305773,6.88714783,2020-04-27T11:25:35Z
52.22305538,6.88714618,2020-04-27T11:25:36Z
52.22305359,6.88714595,2020-04-27T11:25:37Z
52.22305341,6.88714636,2020-04-27T11:25:38Z
52.22305061,6.88714676,2020-04-27T11:25:39Z
52.22304826,6.88715037,2020-04-27T11:25:40Z
52.22304575,6.88715068,2020-04-27T11:25:41Z
52.22304345,6.88715057,2020-04-27T11:25:42Z
52.22304121,6.88715013,2020-04-27T11:25:43Z
52.22303992,6.88715033,2020-04-27T11:25:44Z
52.22303884,6.88715079,2020-04-27T11:25:45Z
52.22303836,6.88715063,2020-04-27T11:25:46Z
52.22303763,6.88715288,2020-04-27T11:25:47Z
52.22303707,6.88715273,2020-04-27T11:25:48Z
52.22303468,6.88715624,2020-04-27T11:25:49Z
52.22303311,6.88715963,2020-04-27T11:25:50Z
52.22303163,6.88716105,2020-04-27T11:25:51Z
52.22303000,6.88716731,2020-04-27T11:25:52Z
52.22302827,6.88717070,2020-04-27T11:25:53Z
52.22302706,6.88717130,2020-04-27T11:25:54Z
52.22302665,6.88717257,2020-04-27T11:25:55Z
52.22302565,6.88717161,2020-04-27T11:25:56Z
52.22302495,6.88717183,2020-04-27T11:25:57Z
52.22302414,6.88717179,2020-04-27T11:25:58Z
52.22302265,6.88717372,2020-04-27T11:25:59Z
52.22302190,6.88717569,2020-04-27T11:26:00Z
52.22302143,6.88717774,2020-04-27T11:26:01Z
52.22302079,6.88718013,2020-04-27T11:26:02Z
52.22302020,6.88718249,2020-04-27T11:26:03Z
52.22301971,6.88718462,2020-04-27T11:26:04Z
52.22301935,6.88718624,2020-04-27T11:26:05Z
52.22301882,6.88718871,2020-04-27T11:26:06Z
52.22301831,6.88719109,2020-04-27T11:26:07Z
52.22301787,6.88719315,2020-04-27T11:26:08Z
52.22301743,6.88719488,2020-04-27T11:26:09Z
52.22301705,6.88719621,2020-04-27T11:26:10Z
52.22301660,6.88719776,2020-04-27T11:26:11Z
52.22301628,6.88719878,2020-04-27T11:26:12Z
52.22301609,6.88719935,2020-04-27T11:26:13Z
52.22301593,6.88719976,2020-04-27T11:26:14Z
52.22301580,6.88720013,2020-04-27T11:26:15Z
52.22301566,6.88720111,2020-04-27T11:26:16Z
52.22301559,6.88720206,2020-04-27T11:26:17Z
52.22301555,6.88720281,2020-04-27T11:26:18Z
52.22301542,6.88720339,2020-04-27T11:26:19Z
52.22301465,6.88720189,2020-04-27T11:26:20Z
52.22301381,6.88719537,2020-04-27T11:26:21Z
52.22301223,6.88718433,2020-04-27T11:26:22Z
52.22300750,6.88717331,2020-04-27T11:26:23Z
52.22300333,6.88716464,2020-04-27T11:26:24Z
52.22299851,6.88715754,2020-04-27T11:26:25Z
52.22299214,6.88714212,2020-04-27T11:26:26Z
52.22298348,6.88712668,2020-04-27T11:26:27Z
52.22297358,6.88711770,2020-04-27T11:26:28Z
52.22296338,6.88711004,2020-04-27T11:26:29Z
52.22295333,6.88710006,2020-04-27T11:26:30Z
52.22294467,6.88709244,2020-04-27T11:26:31Z
